#,Company Name,Total price,Location,Service,Venue of wedding,Date of wedding,Ceremony decor,Reception decor,Handhelds (bouquets and boutonnieres),Approximate size of wedding (if known),"Please upload 15 photos from this wedding to your named folder in Dropbox. Please create a folder underneath your folder for each individual wedding. (if you don't have 15, upload as many as you have). If you don't have photos please list the photographer from the wedding. Thanks!",Start Date (UTC),Submit Date (UTC),Network ID
3cd95ed36ecb506e4f060e3dc4a4b372,Flora by Nora,15000,Mountain town not listed,Delivery (full service),"The Sundeck, Aspen Mountain",5/27/18,Ceremony decor,Reception decor,Handhelds (bouquets and boutonnieres),200,,7/23/18 20:45,7/23/18 20:46,176c8586d0
d6adc691bf847dd102711f6594d9af56,Flora by Nora,5000,Boulder,Delivery (full service),"River Bend, Lyons",7/4/15,,Reception decor,Handhelds (bouquets and boutonnieres),200,,7/23/18 20:45,7/23/18 20:45,176c8586d0
820322d823ddbdf43f7d0c9b328f31dc,Flora by Nora,7500,"Summit County (Keystone, Breckenridge, etc)",Delivery (full service),"Private Estate, Grand Lake",9/17/16,Ceremony decor,Reception decor,Handhelds (bouquets and boutonnieres),100,,7/23/18 20:31,7/23/18 20:32,176c8586d0
c5dbcafbfc051478ad46931bd1348303,Madelyn Claire Floral Design & Events,1900,Denver,Drop Off,Lionsgate Event Center,5/27/18,Ceremony decor,Reception decor,Handhelds (bouquets and boutonnieres),200,,7/23/18 20:25,7/23/18 20:26,b57718b0af
659bd2f9f084c3773d3e41e557840318,Flora by Nora,10000,Other,Delivery (full service),"The Equinox Resort, Manchester, VT",9/30/17,Ceremony decor,Reception decor,Handhelds (bouquets and boutonnieres),200,,7/23/18 20:24,7/23/18 20:26,176c8586d0
a5bf3ca9d565d65e987035b10eb92ce0,Madelyn Claire Floral Design & Events,1900,Denver,Delivery (no service),Bigsbys Folly ,2/10/18,Ceremony decor,Reception decor,Handhelds (bouquets and boutonnieres),80,,7/23/18 20:24,7/23/18 20:25,b57718b0af
4f8a5627aee523c0a0874468a12a4794,Madelyn Claire Floral Design & Events,3100,"Summit County (Keystone, Breckenridge, etc)",Delivery (full service),Donavon Pavilion Vail ,7/14/18,Ceremony decor,Reception decor,Handhelds (bouquets and boutonnieres),150,,7/23/18 20:23,7/23/18 20:24,b57718b0af
973c6dddbad417133a47967b1933faf3,Madelyn Claire Floral Design & Events,2500,Boulder,Delivery (full service),Gold Hill Inn,6/9/18,Ceremony decor,Reception decor,Handhelds (bouquets and boutonnieres),110,,7/23/18 20:21,7/23/18 20:22,b57718b0af
cc57507d69b4dfddbaaf2e9b6e6cc146,Madelyn Claire Floral Design & Events,2100,Denver,Delivery (no service),Barn at  Racoon Creek,6/3/18,Ceremony decor,Reception decor,Handhelds (bouquets and boutonnieres),150,,7/23/18 20:20,7/23/18 20:21,b57718b0af
945f56cdbf786cae5933db52d81f8c0c,Madelyn Claire Floral Design & Events,2200,Denver,Delivery (no service),Wedgewood - Brittany Hill ,5/5/18,Ceremony decor,Reception decor,Handhelds (bouquets and boutonnieres),200,,7/23/18 20:18,7/23/18 20:19,b57718b0af
