#,Company Name,Total price,Location,Service,Venue of wedding,Date of wedding,Ceremony decor,Reception decor,Handhelds (bouquets and boutonnieres),Approximate size of wedding (if known),"Please upload 15 photos from this wedding to your named folder in Dropbox. Please create a folder underneath your folder for each individual wedding. (if you don't have 15, upload as many as you have). If you don't have photos please list the photographer from the wedding. Thanks!",Start Date (UTC),Submit Date (UTC),Network ID
ddb7f1a95649d5538057342130ca1876,Blush & Bay,1000,"Foot Hills (Evergreen, Littleton, etc)",Delivery/drop off (no service),Private Ranch,9/16/17,,,Handhelds (bouquets and boutonnieres),146.8181818,,8/29/18 4:28,8/29/18 4:29,0ce3337455
145b78154328922540ecc86473cbc04b,Blush & Bay,2500,Boulder,Full Service,BMoCA,9/22/17,Ceremony decor,Reception decor,Handhelds (bouquets and boutonnieres),150,,8/29/18 4:26,8/29/18 4:27,0ce3337455
396144ab390ce275df3da810a8ece898,Blush & Bay,2000,"Foot Hills (Evergreen, Littleton, etc)",Full Service,The Manor House,10/8/16,Ceremony decor,Reception decor,Handhelds (bouquets and boutonnieres),125,,8/29/18 4:24,8/29/18 4:25,0ce3337455
3dc36b80e8a16cbc38db02c1f4ded99b,Blush & Bay,2500,"Foot Hills (Evergreen, Littleton, etc)",Full Service,Highlands Ranch Mansion,8/20/17,Ceremony decor,Reception decor,Handhelds (bouquets and boutonnieres),120,,8/29/18 4:22,8/29/18 4:22,0ce3337455
749e41c9156c7c9212ab09d9e54423a4,Blush & Bay,2500,Denver,Full Service,Moss,4/22/17,Ceremony decor,Reception decor,Handhelds (bouquets and boutonnieres),120,,8/29/18 4:20,8/29/18 4:20,0ce3337455
04cdb925be7e6c8254a438b0289fb6f5,Blush & Bay,2500,Boulder,Full Service,Chattaqua Park,9/16/17,Ceremony decor,Reception decor,Handhelds (bouquets and boutonnieres),150,,8/29/18 4:18,8/29/18 4:19,0ce3337455
794bddd7d22047289fa3513792e46cca,Blush & Bay,700,Mountain town not listed,Pick up (client picked up flowers from your studio),"Estes Park, CO",6/1/18,,Reception decor,Handhelds (bouquets and boutonnieres),50,,8/29/18 4:15,8/29/18 4:16,0ce3337455
286bdf596117e85a0667d9d831dff303,Blush & Bay,5000,"Foot Hills (Evergreen, Littleton, etc)",Full Service,The Falls Event Center,9/1/17,Ceremony decor,Reception decor,Handhelds (bouquets and boutonnieres),200,,8/29/18 4:12,8/29/18 4:13,0ce3337455
a889a389d1b9cf285996af710b635e26,Blush & Bay,4000,Other,Full Service,Crooked Willow Farms,10/13/17,Ceremony decor,Reception decor,Handhelds (bouquets and boutonnieres),150,,8/29/18 4:08,8/29/18 4:10,0ce3337455
6161c41915be5420db7d04da811ba3b6,Blush & Bay,8000,Denver,Full Service,Coohills,6/23/18,Ceremony decor,Reception decor,Handhelds (bouquets and boutonnieres),200,,8/29/18 4:04,8/29/18 4:05,0ce3337455
b140401be9872fbc1bae3ff42d5b61a8,Blush & Bay,5000,Boulder,Full Service,"River Bend, Lyons",6/30/17,Ceremony decor,Reception decor,Handhelds (bouquets and boutonnieres),150,,8/29/18 3:59,8/29/18 4:00,0ce3337455
7d87cf3f9537ff7befab22342dcce739,Blush & Bay,3000,Denver,Full Service,Tivoli Turnhalle,10/8/17,Ceremony decor,Reception decor,Handhelds (bouquets and boutonnieres),200,,8/29/18 3:50,8/29/18 3:59,0ce3337455
3cd95ed36ecb506e4f060e3dc4a4b372,Flora by Nora,15000,Mountain town not listed,Full Service,"The Sundeck, Aspen Mountain",5/27/18,Ceremony decor,Reception decor,Handhelds (bouquets and boutonnieres),200,,7/23/18 20:45,7/23/18 20:46,176c8586d0
d6adc691bf847dd102711f6594d9af56,Flora by Nora,5000,Boulder,Full Service,"River Bend, Lyons",7/4/15,,Reception decor,Handhelds (bouquets and boutonnieres),200,,7/23/18 20:45,7/23/18 20:45,176c8586d0
820322d823ddbdf43f7d0c9b328f31dc,Flora by Nora,7500,"Summit County (Keystone, Breckenridge, etc)",Full Service,"Private Estate, Grand Lake",9/17/16,Ceremony decor,Reception decor,Handhelds (bouquets and boutonnieres),100,,7/23/18 20:31,7/23/18 20:32,176c8586d0
659bd2f9f084c3773d3e41e557840318,Flora by Nora,10000,Other,Full Service,"The Equinox Resort, Manchester, VT",9/30/17,Ceremony decor,Reception decor,Handhelds (bouquets and boutonnieres),200,,7/23/18 20:24,7/23/18 20:26,176c8586d0
80cdcf62e032336fbc10cc63f5f62e2d,Flora by Nora,7500,Denver,Full Service,Grant Humphrey's Mansion,10/21/17,Ceremony decor,Reception decor,Handhelds (bouquets and boutonnieres),125,,7/23/18 20:15,7/23/18 20:16,176c8586d0
be90c944d9371847226f720ad930bbf6,Flora by Nora,9000,Other,Full Service,"Sea Pines Resort, Hilton Head Island, SC",10/6/17,Ceremony decor,Reception decor,Handhelds (bouquets and boutonnieres),150,,7/23/18 20:08,7/23/18 20:09,176c8586d0
ccf37cc8a7095dd24fdb7cd7b6c54d77,Flora by Nora,3000,Denver,Delivery/drop off (no service),City Hall,2/6/17,,,Handhelds (bouquets and boutonnieres),30,,7/23/18 20:03,7/23/18 20:08,176c8586d0
8dd1856013f34e74faee2c9d57ce88f0,Flora by Nora,5000,"Foot Hills (Evergreen, Littleton, etc)",Full Service,private venue,9/9/16,Ceremony decor,Reception decor,Handhelds (bouquets and boutonnieres),50,,7/23/18 5:09,7/23/18 5:13,176c8586d0
0923ca592c97703ed459c54d74d176f6,Flora by Nora,7500,"Summit County (Keystone, Breckenridge, etc)",Full Service,CLazy U Ranch,8/27/16,Ceremony decor,Reception decor,Handhelds (bouquets and boutonnieres),150,,7/23/18 4:37,7/23/18 5:09,176c8586d0
e1a8f5eb952fd5070f82b7c6a471e9b9,Flora by Nora,5000,Denver,Full Service,Blanc,9/24/16,Ceremony decor,Reception decor,Handhelds (bouquets and boutonnieres),125,,7/23/18 3:51,7/23/18 4:35,176c8586d0
3a2d42fb469374683c7d9c377ab6e5e8,Little Shop of Floral,3000,Denver,Full Service,SKYLIGHT,5/26/18,,Reception decor,Handhelds (bouquets and boutonnieres),250,https://www.dropbox.com/sh/dx5bwnbuqh0mf65/AAC1ML5f1Ck6wdf_SNxpJ8kCa?dl=0,7/23/18 19:06,7/23/18 19:10,77fd800dd3
e19fe82cfffed62f9b389520a8223c30,Little Shop of Floral,500,"Foot Hills (Evergreen, Littleton, etc)",Delivery/drop off (no service),Public Lands,5/16/18,,,Handhelds (bouquets and boutonnieres),129.1666667,https://www.dropbox.com/sh/717z0cxcbwpjb69/AABCqy26RjZkQZx1vqxu5rr3a?dl=0,7/23/18 19:05,7/23/18 19:06,77fd800dd3
80387e1bb376e79d6209fd9b4e882d1c,Little Shop of Floral,1800,Other,Delivery/drop off (no service),Heritage Eagle Bend Golf Club,7/14/18,Ceremony decor,Reception decor,Handhelds (bouquets and boutonnieres),150,https://www.dropbox.com/sh/6alukvzlbh2mvgc/AADcoY8uvD-f87cHSOviPTXta?dl=0,7/23/18 19:02,7/23/18 19:03,77fd800dd3
cf7d81d22247e1f89890728b5c1dfd72,Little Shop of Floral,1500,Denver,Delivery/drop off (no service),Space Gallery,4/23/18,,Reception decor,Handhelds (bouquets and boutonnieres),129.1666667,https://www.dropbox.com/sh/9aprp06idy3mksq/AAAbgP1-pxj8lryR2366Vjnsa?dl=0,7/23/18 18:59,7/23/18 19:00,77fd800dd3
846d32f9bc68246513d4a3a26a9b0c11,Little Shop of Floral,2500,Denver,Full Service,SKYLIGHT,2/24/18,Ceremony decor,Reception decor,Handhelds (bouquets and boutonnieres),100,https://www.dropbox.com/sh/kkyepn93lnv5vs3/AADvFC2wZdCOKUNmMIyP6z9ia?dl=0,7/23/18 18:52,7/23/18 18:54,77fd800dd3
5c2276a30d39e207a9e88e80d3b7d650,Little Shop of Floral,500,"Foot Hills (Evergreen, Littleton, etc)",Delivery/drop off (no service),Barrels and Bottles Brewery,2/14/17,,,Handhelds (bouquets and boutonnieres),129.1666667,https://www.dropbox.com/sh/j7itffv9dzciz1z/AADTOrAsXRDEdC8nlKGR8noaa?dl=0,7/23/18 18:46,7/23/18 18:48,77fd800dd3
ce5ef644fa505f4f053aa4574137e3f3,Little Shop of Floral,1000,Denver,Delivery/drop off (no service),Infinite Monkey Theorem Urban Winery,10/21/17,Ceremony decor,Reception decor,Handhelds (bouquets and boutonnieres),75,https://www.dropbox.com/sh/5ji2b1ugpjdfhk9/AADz4Qgm7sgr7MkiBmlVqVtfa?dl=0,7/23/18 18:38,7/23/18 18:42,77fd800dd3
1e2d03fd8871b270b7f2e3f12552059b,Little Shop of Floral,1500,"Foot Hills (Evergreen, Littleton, etc)",Full Service,Black Stone Rivers Ranch,6/30/18,,Reception decor,Handhelds (bouquets and boutonnieres),100,https://www.dropbox.com/sh/v42ng7xemi5jkjq/AAD8hhxDJUxPTMm67J_dDW9ua?dl=0,7/23/18 18:36,7/23/18 18:37,77fd800dd3
deea09aada73928bf645a40ea50f353e,Little Shop of Floral,2900,"Summit County (Keystone, Breckenridge, etc)",Full Service,Ten Mile Station,7/14/18,,Reception decor,Handhelds (bouquets and boutonnieres),175,https://www.dropbox.com/sh/cqj0ojvfblawty6/AADb5s3EV2909jIBT0W_jvsWa?dl=0,7/23/18 18:31,7/23/18 18:35,d95665bb13
d8bd6c73f1825b54c2af9cd4fefd291d,Little Shop of Floral,2500,"Summit County (Keystone, Breckenridge, etc)",Full Service,Donovan Pavillion,9/10/17,Ceremony decor,Reception decor,Handhelds (bouquets and boutonnieres),150,https://www.dropbox.com/sh/bzqwhx4tms02rm1/AABb7zuOrWDg4SwNhJY6WTZea?dl=0,7/23/18 17:46,7/23/18 18:31,c9dd9aa8af
a4f37d28eae155bd78d3de1e858274e8,Little Shop of Floral,2500,Mountain town not listed,Full Service,Mt. Princeton Hot Springs ,8/26/17,Ceremony decor,Reception decor,Handhelds (bouquets and boutonnieres),200,https://www.dropbox.com/sh/3k8d2tk6f3yewx4/AADs2w44X5fePfVBI7ZHyOTha?dl=0,7/23/18 17:22,7/23/18 17:46,c9dd9aa8af
81b693025a7aa5ccfe9512dcb359c75f,Lumme Creations,87,Mountain town not listed,Delivery/drop off (no service),Telluride,7/22/18,,,Handhelds (bouquets and boutonnieres),2,,7/22/18 13:58,7/22/18 14:00,98281fe946
8c19a5d956e0b583ec6aa04e23361343,Lumme Creations,693,Mountain town not listed,Delivery/drop off (no service),Estes Park,6/15/18,,,Handhelds (bouquets and boutonnieres),15,,7/22/18 13:57,7/22/18 13:58,98281fe946
aec4edb8ce900b31a43b208bde67957e,Lumme Creations,2574,Other,Full Service,Lionscrest Manor,5/27/18,Ceremony decor,Reception decor,Handhelds (bouquets and boutonnieres),100,,7/22/18 13:55,7/22/18 13:57,98281fe946
ccf3964ccce6d7d345101e49a3fe7686,Lumme Creations,2048,Denver,Full Service,Hotel Teatro,2/10/18,Ceremony decor,Reception decor,Handhelds (bouquets and boutonnieres),30,,7/22/18 13:54,7/22/18 13:55,98281fe946
e6f9ebdd47c368d095f69e3cbb2d0ca6,Lumme Creations,966,"Foot Hills (Evergreen, Littleton, etc)",Full Service,The Golden Hotel,11/18/17,,Reception decor,Handhelds (bouquets and boutonnieres),50,,7/22/18 13:52,7/22/18 13:53,98281fe946
e3c54d045a8ba095dddf4d6db2164886,Lumme Creations,2579,Other,Full Service,The Broadmoor,9/9/17,,Reception decor,Handhelds (bouquets and boutonnieres),100,Will upload later once I figure out how to do so,7/22/18 13:50,7/22/18 13:52,98281fe946
061184f9205c4002d70b104309058d4c,Lumme Creations,1995,Other,Full Service,"The Booking House - Mannheim, PA",8/26/17,Ceremony decor,Reception decor,Handhelds (bouquets and boutonnieres),100,I don't know how to upload photos to the file,7/22/18 13:15,7/22/18 13:44,98281fe946
c5dbcafbfc051478ad46931bd1348303,Madelyn Claire Floral Design & Events,1900,Denver,Delivery/drop off (no service),Lionsgate Event Center,5/27/18,Ceremony decor,Reception decor,Handhelds (bouquets and boutonnieres),200,,7/23/18 20:25,7/23/18 20:26,b57718b0af
a5bf3ca9d565d65e987035b10eb92ce0,Madelyn Claire Floral Design & Events,1900,Denver,Delivery/drop off (no service),Bigsbys Folly ,2/10/18,Ceremony decor,Reception decor,Handhelds (bouquets and boutonnieres),80,,7/23/18 20:24,7/23/18 20:25,b57718b0af
4f8a5627aee523c0a0874468a12a4794,Madelyn Claire Floral Design & Events,3100,"Summit County (Keystone, Breckenridge, etc)",Full Service,Donavon Pavilion Vail ,7/14/18,Ceremony decor,Reception decor,Handhelds (bouquets and boutonnieres),150,,7/23/18 20:23,7/23/18 20:24,b57718b0af
973c6dddbad417133a47967b1933faf3,Madelyn Claire Floral Design & Events,2500,Boulder,Full Service,Gold Hill Inn,6/9/18,Ceremony decor,Reception decor,Handhelds (bouquets and boutonnieres),110,,7/23/18 20:21,7/23/18 20:22,b57718b0af
cc57507d69b4dfddbaaf2e9b6e6cc146,Madelyn Claire Floral Design & Events,2100,Denver,Delivery/drop off (no service),Barn at  Racoon Creek,6/3/18,Ceremony decor,Reception decor,Handhelds (bouquets and boutonnieres),150,,7/23/18 20:20,7/23/18 20:21,b57718b0af
945f56cdbf786cae5933db52d81f8c0c,Madelyn Claire Floral Design & Events,2200,Denver,Delivery/drop off (no service),Wedgewood - Brittany Hill ,5/5/18,Ceremony decor,Reception decor,Handhelds (bouquets and boutonnieres),200,,7/23/18 20:18,7/23/18 20:19,b57718b0af
dcb331d886d0cb8791b2a32ec5a4967f,Madelyn Claire Floral Design & Events,2200,Denver,Full Service,Space Gallery,5/5/18,Ceremony decor,Reception decor,Handhelds (bouquets and boutonnieres),120,,7/23/18 20:17,7/23/18 20:18,b57718b0af
